name,time,state
Staande_Lamp_1,1509491943009,1
Staande_Lamp_2,1509492221471,0
Staande_Lamp_3,1509489940655,0
Staande_Lamp_3,1509492826941,1
Staande_Lamp_3,1509492860451,1
Staande_Lamp_4,1509492910368,0
Staande_Lamp_5,1509490011225,1
Staande_Lamp_1,1509492904889,1
Staande_Lamp_2,1509492983553,0
Staande_Lamp_3,1509495776509,1
Staande_Lamp_3,1509496070897,1
Staande_Lamp_3,1509496790877,0
Staande_Lamp_4,1509494311740,0
Staande_Lamp_5,1509495178373,1
Staande_Lamp_1,1509497980691,1
Staande_Lamp_2,1509498130379,0
Staande_Lamp_3,1509497372654,0
Staande_Lamp_3,1509500655859,1
Staande_Lamp_3,1509499036484,0
Staande_Lamp_4,1509498728417,0
Staande_Lamp_5,1509497587456,0
Staande_Lamp_1,1509502111561,1
Staande_Lamp_2,1509502163379,1
Staande_Lamp_3,1509501064370,1
Staande_Lamp_3,1509503094333,0
Staande_Lamp_3,1509504702728,1
Staande_Lamp_4,1509501895396,1
Staande_Lamp_5,1509501685952,1
Staande_Lamp_1,1509505277450,0
Staande_Lamp_2,1509505077175,0
Staande_Lamp_3,1509504580282,1
Staande_Lamp_3,1509507290152,0
Staande_Lamp_3,1509506329828,1
Staande_Lamp_4,1509506037524,1
Staande_Lamp_5,1509504771670,0
Staande_Lamp_1,1509507743106,0
Staande_Lamp_2,1509508178671,1
Staande_Lamp_3,1509508285697,0
Staande_Lamp_3,1509509896504,1
Staande_Lamp_3,1509510961777,1
Staande_Lamp_4,1509508692908,0
Staande_Lamp_5,1509508398723,0
Staande_Lamp_1,1509512222695,1
Staande_Lamp_2,1509511231379,0
Staande_Lamp_3,1509511292756,0
Staande_Lamp_3,1509512446023,0
Staande_Lamp_3,1509514619723,1
Staande_Lamp_4,1509514522898,1
Staande_Lamp_5,1509513971377,0
Staande_Lamp_1,1509516947058,0
Staande_Lamp_2,1509514789445,1
Staande_Lamp_3,1509515107956,0
Staande_Lamp_3,1509518467835,0
Staande_Lamp_3,1509518046754,1
Staande_Lamp_4,1509517645307,0
Staande_Lamp_5,1509516232615,1
Staande_Lamp_1,1509518569275,1
Staande_Lamp_2,1509519491985,1
Staande_Lamp_3,1509519970258,1
Staande_Lamp_3,1509520635488,1
Staande_Lamp_3,1509521378302,1
Staande_Lamp_4,1509521822503,0
Staande_Lamp_5,1509520804430,0
Staande_Lamp_1,1509523141699,0
Staande_Lamp_2,1509522312663,0
Staande_Lamp_3,1509522338728,1
Staande_Lamp_3,1509524236853,1
Staande_Lamp_3,1509524980229,0
Staande_Lamp_4,1509524639229,0
Staande_Lamp_5,1509524971744,1
Staande_Lamp_1,1509525918424,0
Staande_Lamp_2,1509525617834,1
Staande_Lamp_3,1509525777270,0
Staande_Lamp_3,1509529458750,0
Staande_Lamp_3,1509529542107,1
Staande_Lamp_4,1509528488070,1
Staande_Lamp_5,1509527075942,0
Staande_Lamp_1,1509530399249,0
Staande_Lamp_2,1509531599126,1
Staande_Lamp_3,1509529280866,1
Staande_Lamp_3,1509532464035,1
Staande_Lamp_3,1509531974828,0
